01 01 2017, 0.00, 18.79
02 01 2017, 0.00, 4.26
03 01 2017, 0.00, 5.38
04 01 2017, 0.00, 6.14
05 01 2017, 0.00, 5.73
06 01 2017, 0.00, 28.00
07 01 2017, 54.39, 20.67
08 01 2017, 0.06, 22.67
09 01 2017, 0.00, 19.32
10 01 2017, 0.00, 18.44
11 01 2017, 0.00, 22.72
12 01 2017, 23.59, 13.81
13 01 2017, 0.00, 7.35
14 01 2017, 5.91, 10.80
15 01 2017, 0.58, 13.21
16 01 2017, 0.83, 16.17
17 01 2017, 0.00, 10.83
18 01 2017, 0.00, 12.92
19 01 2017, 0.00, 11.24
20 01 2017, 0.00, 9.17
21 01 2017, 0.00, 6.44
22 01 2017, 0.00, 10.91
23 01 2017, 0.06, 10.93
24 01 2017, 0.00, 24.31
25 01 2017, 1.09, 18.89
26 01 2017, 0.00, 22.32
27 01 2017, 0.00, 13.11
28 01 2017, 0.00, 9.09
29 01 2017, 0.00, 11.11
30 01 2017, 0.00, 13.61
31 01 2017, 0.00, 18.06
01 02 2017, 0.02, 10.44
02 02 2017, 0.00, 25.89
03 02 2017, 0.10, 13.43
04 02 2017, 0.00, 8.04
05 02 2017, 0.00, 8.41
06 02 2017, 0.20, 10.80
07 02 2017, 0.00, 12.39
08 02 2017, 0.00, 6.57
09 02 2017, 1.84, 14.91
10 02 2017, 0.00, 8.06
11 02 2017, 0.00, 6.85
12 02 2017, 0.00, 10.42
13 02 2017, 0.00, 8.01
14 02 2017, 0.00, 21.88
15 02 2017, 0.00, 17.16
16 02 2017, 43.24, 10.29
17 02 2017, 0.00, 19.37
18 02 2017, 0.00, 16.59
19 02 2017, 0.00, 23.57
20 02 2017, 0.00, 20.84
21 02 2017, 0.00, 22.69
22 02 2017, 4.22, 24.06
23 02 2017, 16.42, 16.24
24 02 2017, 0.00, 11.50
25 02 2017, 0.00, 21.18
26 02 2017, 0.00, 13.15
27 02 2017, 0.00, 7.19
28 02 2017, 17.39, 8.66
01 03 2017, 6.33, 9.37
02 03 2017, 1.29, 8.12
03 03 2017, 0.00, 14.75
04 03 2017, 0.17, 12.99
05 03 2017, 0.00, 12.66
06 03 2017, 0.00, 11.05
07 03 2017, 0.00, 13.72
08 03 2017, 0.00, 20.39
09 03 2017, 2.98, 16.91
10 03 2017, 0.00, 17.53
11 03 2017, 0.00, 22.67
12 03 2017, 155.80, 19.12
13 03 2017, 0.00, 22.96
14 03 2017, 3.19, 15.14
15 03 2017, 0.00, 15.90
16 03 2017, 0.58, 12.19
17 03 2017, 0.00, 13.02
18 03 2017, 0.00, 28.36
19 03 2017, 3.31, 18.65
20 03 2017, 20.27, 17.41
21 03 2017, 0.00, 5.45
22 03 2017, 58.52, 9.22
23 03 2017, 0.00, 7.39
24 03 2017, 0.00, 6.97
25 03 2017, 0.00, 10.06
26 03 2017, 0.00, 7.82
27 03 2017, 0.00, 14.98
28 03 2017, 0.00, 16.71
29 03 2017, 0.00, 21.38
30 03 2017, 58.92, 15.44
31 03 2017, 0.00, 18.63
01 04 2017, 0.20, 14.73
02 04 2017, 0.00, 10.67
03 04 2017, 0.76, 21.18
04 04 2017, 0.20, 7.46
05 04 2017, 1.55, 7.48
06 04 2017, 0.00, 6.79
07 04 2017, 0.00, 8.31
08 04 2017, 0.00, 9.09
09 04 2017, 2.61, 10.80
10 04 2017, 0.00, 7.49
11 04 2017, 0.00, 15.56
12 04 2017, 4.39, 15.10
13 04 2017, 0.00, 12.72
14 04 2017, 0.00, 19.84
15 04 2017, 0.17, 9.08
16 04 2017, 0.00, 18.06
17 04 2017, 2.74, 16.37
18 04 2017, 0.00, 13.28
19 04 2017, 0.00, 14.05
20 04 2017, 0.00, 14.89
21 04 2017, 0.00, 13.50
22 04 2017, 0.00, 13.30
23 04 2017, 0.00, 14.04
24 04 2017, 1.37, 13.67
25 04 2017, 0.00, 6.74
26 04 2017, 0.00, 7.02
27 04 2017, 0.00, 12.26
28 04 2017, 0.00, 9.58
29 04 2017, 15.27, 12.43
30 04 2017, 18.98, 17.65
01 05 2017, 26.31, 12.15
02 05 2017, 0.00, 27.09
03 05 2017, 0.00, 12.77
04 05 2017, 0.00, 7.80
05 05 2017, 0.00, 11.63
06 05 2017, 0.00, 11.87
07 05 2017, 0.00, 12.92
08 05 2017, 0.00, 10.37
09 05 2017, 0.00, 12.35
10 05 2017, 1.36, 12.33
11 05 2017, 0.00, 10.70
12 05 2017, 4.21, 16.21
13 05 2017, 1.62, 14.86
14 05 2017, 0.00, 11.29
15 05 2017, 0.00, 30.13
16 05 2017, 0.14, 24.65
17 05 2017, 0.00, 14.27
18 05 2017, 15.26, 14.20
19 05 2017, 0.00, 13.28
20 05 2017, 86.86, 14.83
21 05 2017, 0.00, 22.39
22 05 2017, 0.40, 23.88
23 05 2017, 0.00, 28.01
24 05 2017, 0.00, 24.02
25 05 2017, 0.00, 15.83
26 05 2017, 0.00, 21.57
27 05 2017, 0.00, 29.44
28 05 2017, 0.00, 12.32
29 05 2017, 0.00, 24.14
30 05 2017, 0.00, 20.11
31 05 2017, 0.00, 13.11
01 06 2017, 0.00, 33.84
